	taxon	sample_id	tolerance	reaction	flux	abundance	metabolite	direction
249	Acinetobacter	oilspill	1e-06	EX_tol_e	-0.00020447790356570295	0.1	tol_e	import
255	Acinetobacter	oilspill	1e-06	EX_fe2_e	-0.0009259934014380633	0.1	fe2_e	import
256	Acinetobacter	oilspill	1e-06	EX_indole_e	0.05116138938888071	0.1	indole_e	export
261	Acinetobacter	oilspill	1e-06	EX_pyr_e	-84.72833948386881	0.1	pyr_e	import
263	Acinetobacter	oilspill	1e-06	EX_ala__D_e	-100.0	0.1	ala__D_e	import
264	Acinetobacter	oilspill	1e-06	EX_glyclt_e	0.0004745561421122144	0.1	glyclt_e	export
265	Acinetobacter	oilspill	1e-06	EX_pydxn_e	0.00021207434622283472	0.1	pydxn_e	export
269	Acinetobacter	oilspill	1e-06	EX_ade_e	-0.0036082715328120685	0.1	ade_e	import
272	Acinetobacter	oilspill	1e-06	EX_ac_e	-69.59160802904763	0.1	ac_e	import
277	Acinetobacter	oilspill	1e-06	EX_fald_e	-100.0	0.1	fald_e	import
279	Acinetobacter	oilspill	1e-06	EX_h2s_e	-0.033932176669236924	0.1	h2s_e	import
291	Acinetobacter	oilspill	1e-06	EX_acald_e	119.56402818090237	0.1	acald_e	export
293	Acinetobacter	oilspill	1e-06	EX_uri_e	-0.041963566348499626	0.1	uri_e	import
296	Acinetobacter	oilspill	1e-06	EX_ins_e	-44.062553778953315	0.1	ins_e	import
301	Acinetobacter	oilspill	1e-06	EX_etoh_e	-100.0	0.1	etoh_e	import
304	Acinetobacter	oilspill	1e-06	EX_pacald_e	-100.0	0.1	pacald_e	import
305	Acinetobacter	oilspill	1e-06	EX_2dhglcn_e	-0.021193182710248948	0.1	2dhglcn_e	import
308	Acinetobacter	oilspill	1e-06	EX_thymd_e	-0.014667790639123268	0.1	thymd_e	import
313	Acinetobacter	oilspill	1e-06	EX_leu__L_e	-0.06212788282357503	0.1	leu__L_e	import
318	Acinetobacter	oilspill	1e-06	EX_cobalt2_e	-1.3789924096840878e-05	0.1	cobalt2_e	import
319	Acinetobacter	oilspill	1e-06	EX_xtsn_e	0.22073932045952915	0.1	xtsn_e	export
323	Alcanivorax	oilspill	1e-06	EX_ile__L_e	-0.05986919073234276	0.1	ile__L_e	import
329	Alcanivorax	oilspill	1e-06	EX_h_e	-37.337134006258154	0.1	h_e	import
336	Alcanivorax	oilspill	1e-06	EX_mg2_e	-0.0017876536579706226	0.1	mg2_e	import
338	Alcanivorax	oilspill	1e-06	EX_lac__L_e	-50.33480555047652	0.1	lac__L_e	import
339	Alcanivorax	oilspill	1e-06	EX_mn2_e	-0.00014239408392313635	0.1	mn2_e	import
342	Alcanivorax	oilspill	1e-06	EX_pnto__R_e	-0.00011869608147208055	0.1	pnto__R_e	import
345	Alcanivorax	oilspill	1e-06	EX_lys__L_e	-0.0707150451793126	0.1	lys__L_e	import
347	Alcanivorax	oilspill	1e-06	EX_fe3_e	-0.0029927485965401956	0.1	fe3_e	import
349	Alcanivorax	oilspill	1e-06	EX_val__L_e	-0.08720081812376179	0.1	val__L_e	import
350	Alcanivorax	oilspill	1e-06	EX_bz_e	-2.0606958630268677e-05	0.1	bz_e	import
352	Alcanivorax	oilspill	1e-06	EX_cl_e	-0.0010725921947957802	0.1	cl_e	import
356	Alcanivorax	oilspill	1e-06	EX_met__L_e	0.031879173193146926	0.1	met__L_e	export
357	Alcanivorax	oilspill	1e-06	EX_meoh_e	-36.697008191832424	0.1	meoh_e	import
363	Alcanivorax	oilspill	1e-06	EX_skm_e	-0.040313599166211134	0.1	skm_e	import
373	Alcanivorax	oilspill	1e-06	EX_gthrd_e	189.02365140387076	0.1	gthrd_e	export
374	Alcanivorax	oilspill	1e-06	EX_phe__L_e	-0.03817748183838887	0.1	phe__L_e	import
376	Alcanivorax	oilspill	1e-06	EX_gly_e	-100.0	0.1	gly_e	import
379	Alcanivorax	oilspill	1e-06	EX_thym_e	-0.005458577261843408	0.1	thym_e	import
381	Alcanivorax	oilspill	1e-06	EX_asn__L_e	-0.04967410403775153	0.1	asn__L_e	import
387	Alcanivorax	oilspill	1e-06	EX_glu__L_e	-0.16996343557534602	0.1	glu__L_e	import
388	Alcanivorax	oilspill	1e-06	EX_his__L_e	-0.019522620432383064	0.1	his__L_e	import
394	Alcanivorax	oilspill	1e-06	EX_o2_e	-0.0994717610337687	0.1	o2_e	import
396	Alcanivorax	oilspill	1e-06	EX_pro__L_e	-0.04555271231903646	0.1	pro__L_e	import
404	Alcanivorax	oilspill	1e-06	EX_adn_e	-0.04209939819781994	0.1	adn_e	import
407	Alcanivorax	oilspill	1e-06	EX_k_e	-0.04022334068756095	0.1	k_e	import
411	Alcanivorax	oilspill	1e-06	EX_ser__D_e	49.9646550487447	0.1	ser__D_e	export
413	Alcanivorax	oilspill	1e-06	EX_asp__L_e	-0.6467315495838477	0.1	asp__L_e	import
416	Alcanivorax	oilspill	1e-06	EX_cu2_e	-0.00014610332158326855	0.1	cu2_e	import
420	Alcanivorax	oilspill	1e-06	EX_nh4_e	-100.0	0.1	nh4_e	import
424	Alcanivorax	oilspill	1e-06	EX_h2o_e	-100.0	0.1	h2o_e	import
428	Alcanivorax	oilspill	1e-06	EX_gthox_e	-94.51182570193538	0.1	gthox_e	import
432	Alcanivorax	oilspill	1e-06	EX_pi_e	-0.20320377620541877	0.1	pi_e	import
436	Alcanivorax	oilspill	1e-06	EX_co2_e	50.77852906516319	0.1	co2_e	export
437	Alcanivorax	oilspill	1e-06	EX_arg__L_e	-0.0609537349631637	0.1	arg__L_e	import
438	Alcanivorax	oilspill	1e-06	EX_glyb_e	-0.06354918357726547	0.1	glyb_e	import
439	Alcanivorax	oilspill	1e-06	EX_so4_e	-0.0008939298637894522	0.1	so4_e	import
443	Alcanivorax	oilspill	1e-06	EX_zn2_e	-7.026972880908033e-05	0.1	zn2_e	import
445	Alcanivorax	oilspill	1e-06	EX_ca2_e	-0.0010725921947596362	0.1	ca2_e	import
448	Alcanivorax	oilspill	1e-06	EX_no2_e	-0.00014960651920559049	0.1	no2_e	import
450	Alcanivorax	oilspill	1e-06	EX_h2o2_e	94.51182570193538	0.1	h2o2_e	export
455	Alcanivorax	oilspill	1e-06	EX_glc__D_e	-0.12836356136358518	0.1	glc__D_e	import
461	Alcanivorax	oilspill	1e-06	EX_pyr_e	-100.0	0.1	pyr_e	import
462	Alcanivorax	oilspill	1e-06	EX_ala__D_e	150.05984971824606	0.1	ala__D_e	export
463	Alcanivorax	oilspill	1e-06	EX_glyclt_e	0.00018381407062406652	0.1	glyclt_e	export
467	Alcanivorax	oilspill	1e-06	EX_ac_e	13.910535289808763	0.1	ac_e	export
471	Alcanivorax	oilspill	1e-06	EX_fald_e	36.82410655898687	0.1	fald_e	export
472	Alcanivorax	oilspill	1e-06	EX_h2s_e	-0.06359513709486464	0.1	h2s_e	import
481	Alcanivorax	oilspill	1e-06	EX_acald_e	-13.951749206995942	0.1	acald_e	import
484	Alcanivorax	oilspill	1e-06	EX_gua_e	-0.05012189324796168	0.1	gua_e	import
486	Alcanivorax	oilspill	1e-06	EX_cys__L_e	-0.019036502279139084	0.1	cys__L_e	import
