	taxon	sample_id	tolerance	reaction	flux	abundance	metabolite	direction
995	Marinobacter	oilspill	1e-06	EX_ca2_e	-0.00047642657443702774	0.1	ca2_e	import
998	Marinobacter	oilspill	1e-06	EX_pac_e	28.990515619553662	0.1	pac_e	export
1000	Marinobacter	oilspill	1e-06	EX_no2_e	14.618148947743505	0.1	no2_e	export
1001	Marinobacter	oilspill	1e-06	EX_h2o2_e	-86.29270592330658	0.1	h2o2_e	import
1013	Marinobacter	oilspill	1e-06	EX_fe2_e	0.010332858231963787	0.1	fe2_e	export
1019	Marinobacter	oilspill	1e-06	EX_pyr_e	61.21574402271301	0.1	pyr_e	export
1020	Marinobacter	oilspill	1e-06	EX_ala__D_e	112.08303085457226	0.1	ala__D_e	export
1021	Marinobacter	oilspill	1e-06	EX_glyclt_e	5.208198285799881e-05	0.1	glyclt_e	export
1025	Marinobacter	oilspill	1e-06	EX_ade_e	-0.0023950389524998172	0.1	ade_e	import
1027	Marinobacter	oilspill	1e-06	EX_ac_e	5.898332051537295	0.1	ac_e	export
1031	Marinobacter	oilspill	1e-06	EX_fald_e	-100.0	0.1	fald_e	import
1032	Marinobacter	oilspill	1e-06	EX_h2s_e	-0.02247021774053337	0.1	h2s_e	import
1043	Marinobacter	oilspill	1e-06	EX_cytd_e	-0.012220318752042658	0.1	cytd_e	import
1045	Marinobacter	oilspill	1e-06	EX_acald_e	-100.0	0.1	acald_e	import
1051	Marinobacter	oilspill	1e-06	EX_etoh_e	5.134605405117554	0.1	etoh_e	export
1053	Marinobacter	oilspill	1e-06	EX_pacald_e	-28.99051561955355	0.1	pacald_e	import
1057	Marinobacter	oilspill	1e-06	EX_thymd_e	-0.00726301100053206	0.1	thymd_e	import
1058	Marinobacter	oilspill	1e-06	EX_orn_e	-0.16874754734624275	0.1	orn_e	import
1062	Marinobacter	oilspill	1e-06	EX_leu__L_e	-0.04123822113785207	0.1	leu__L_e	import
1064	Marinobacter	oilspill	1e-06	EX_ura_e	-0.002443368103478897	0.1	ura_e	import
1066	Marinobacter	oilspill	1e-06	EX_cobalt2_e	-9.153248356597032e-06	0.1	cobalt2_e	import
1068	Marinobacter	oilspill	1e-06	EX_no3_e	-14.618148947743505	0.1	no3_e	import
1073	Pseudomonas	oilspill	1e-06	EX_ile__L_e	-0.03159956152853738	0.1	ile__L_e	import
1074	Pseudomonas	oilspill	1e-06	EX_arab__L_e	-1.6824138424481134	0.1	arab__L_e	import
1075	Pseudomonas	oilspill	1e-06	EX_but_e	43.97880908770867	0.1	but_e	export
1077	Pseudomonas	oilspill	1e-06	EX_ala__L_e	-100.0	0.1	ala__L_e	import
1079	Pseudomonas	oilspill	1e-06	EX_id3acald_e	-93.00352403558998	0.1	id3acald_e	import
1080	Pseudomonas	oilspill	1e-06	EX_h_e	-100.0	0.1	h_e	import
1087	Pseudomonas	oilspill	1e-06	EX_ser__L_e	-100.0	0.1	ser__L_e	import
1091	Pseudomonas	oilspill	1e-06	EX_mg2_e	-0.000943541595717079	0.1	mg2_e	import
1096	Pseudomonas	oilspill	1e-06	EX_lac__L_e	-100.0	0.1	lac__L_e	import
1098	Pseudomonas	oilspill	1e-06	EX_mn2_e	-7.515703089211456e-05	0.1	mn2_e	import
1102	Pseudomonas	oilspill	1e-06	EX_pnto__R_e	0.0005217516367110875	0.1	pnto__R_e	export
1105	Pseudomonas	oilspill	1e-06	EX_lys__L_e	-0.03732411268310898	0.1	lys__L_e	import
1106	Pseudomonas	oilspill	1e-06	EX_abt__L_e	1.6824138424481134	0.1	abt__L_e	export
1114	Pseudomonas	oilspill	1e-06	EX_fe3_e	-0.0008492418189410677	0.1	fe3_e	import
1116	Pseudomonas	oilspill	1e-06	EX_for_e	-0.0008325096519001818	0.1	for_e	import
1120	Pseudomonas	oilspill	1e-06	EX_val__L_e	-0.04666259292707764	0.1	val__L_e	import
1121	Pseudomonas	oilspill	1e-06	EX_bz_e	-1.0876560168071592e-05	0.1	bz_e	import
1123	Pseudomonas	oilspill	1e-06	EX_uaagmda_e	-0.010876560181145578	0.1	uaagmda_e	import
1127	Pseudomonas	oilspill	1e-06	EX_succ_e	-1.0876560168071592e-05	0.1	succ_e	import
1129	Pseudomonas	oilspill	1e-06	EX_trp__L_e	92.99734147248626	0.1	trp__L_e	export
1130	Pseudomonas	oilspill	1e-06	EX_cl_e	-0.0005661249574302474	0.1	cl_e	import
1133	Pseudomonas	oilspill	1e-06	EX_hxan_e	53.669703702747256	0.1	hxan_e	export
1136	Pseudomonas	oilspill	1e-06	EX_akg_e	99.27031390580078	0.1	akg_e	export
1142	Pseudomonas	oilspill	1e-06	EX_meoh_e	-100.0	0.1	meoh_e	import
1147	Pseudomonas	oilspill	1e-06	EX_btoh_e	-43.97880908770867	0.1	btoh_e	import
1151	Pseudomonas	oilspill	1e-06	EX_fum_e	-100.0	0.1	fum_e	import
1152	Pseudomonas	oilspill	1e-06	EX_skm_e	-7.276418750734592e-05	0.1	skm_e	import
1154	Pseudomonas	oilspill	1e-06	EX_dha_e	-32.350475808168056	0.1	dha_e	import
1159	Pseudomonas	oilspill	1e-06	EX_tyr__L_e	-0.014998341427371997	0.1	tyr__L_e	import
1176	Pseudomonas	oilspill	1e-06	EX_gthrd_e	243.90829145318662	0.1	gthrd_e	export
1177	Pseudomonas	oilspill	1e-06	EX_phe__L_e	-0.020150459219621553	0.1	phe__L_e	import
1179	Pseudomonas	oilspill	1e-06	EX_gly_e	-100.0	0.1	gly_e	import
1182	Pseudomonas	oilspill	1e-06	EX_thym_e	-0.05302709884597334	0.1	thym_e	import
1184	Pseudomonas	oilspill	1e-06	EX_glcn_e	-100.0	0.1	glcn_e	import
1187	Pseudomonas	oilspill	1e-06	EX_asn__L_e	0.5143007716811567	0.1	asn__L_e	export
1194	Pseudomonas	oilspill	1e-06	EX_icit_e	-100.0	0.1	icit_e	import
1202	Pseudomonas	oilspill	1e-06	EX_glu__L_e	-100.0	0.1	glu__L_e	import
1204	Pseudomonas	oilspill	1e-06	EX_glyald_e	-100.0	0.1	glyald_e	import
1205	Pseudomonas	oilspill	1e-06	EX_his__L_e	0.09331763067544685	0.1	his__L_e	export
1206	Pseudomonas	oilspill	1e-06	EX_glyc_e	100.0	0.1	glyc_e	export
1214	Pseudomonas	oilspill	1e-06	EX_mal__L_e	-5.2023735272696285	0.1	mal__L_e	import
1216	Pseudomonas	oilspill	1e-06	EX_h2co3_e	4.2368100831396305	0.1	h2co3_e	export
1221	Pseudomonas	oilspill	1e-06	EX_o2_e	-0.01677513629852001	0.1	o2_e	import
1222	Pseudomonas	oilspill	1e-06	EX_cgly_e	-100.0	0.1	cgly_e	import
1223	Pseudomonas	oilspill	1e-06	EX_pro__L_e	-0.02404318010835027	0.1	pro__L_e	import
1238	Pseudomonas	oilspill	1e-06	EX_adn_e	100.00001087656017	0.1	adn_e	export
1240	Pseudomonas	oilspill	1e-06	EX_lac__D_e	100.0	0.1	lac__D_e	export
1243	Pseudomonas	oilspill	1e-06	EX_k_e	-0.021230284114314064	0.1	k_e	import
1250	Pseudomonas	oilspill	1e-06	EX_coa_e	5.272271021020125e-05	0.1	coa_e	export
1252	Pseudomonas	oilspill	1e-06	EX_ser__D_e	149.6525610109616	0.1	ser__D_e	export
1254	Pseudomonas	oilspill	1e-06	EX_5dglcn_e	199.97880681728986	0.1	5dglcn_e	export
1255	Pseudomonas	oilspill	1e-06	EX_asp__L_e	104.05795349121871	0.1	asp__L_e	export
1261	Pseudomonas	oilspill	1e-06	EX_cu2_e	-7.71148038471788e-05	0.1	cu2_e	import
1270	Pseudomonas	oilspill	1e-06	EX_man6p_e	160.57805022060325	0.1	man6p_e	export
1275	Pseudomonas	oilspill	1e-06	EX_thm_e	-2.4254729169115308e-05	0.1	thm_e	import
1281	Pseudomonas	oilspill	1e-06	EX_h2o_e	-100.0	0.1	h2o_e	import
1290	Pseudomonas	oilspill	1e-06	EX_h2_e	300.0	0.1	h2_e	export
1291	Pseudomonas	oilspill	1e-06	EX_gthox_e	-71.95414572659331	0.1	gthox_e	import
1295	Pseudomonas	oilspill	1e-06	EX_thr__L_e	-0.02759241922660749	0.1	thr__L_e	import
1297	Pseudomonas	oilspill	1e-06	EX_pi_e	-60.66370826695959	0.1	pi_e	import
1306	Pseudomonas	oilspill	1e-06	EX_co2_e	58.37026929664387	0.1	co2_e	export
1307	Pseudomonas	oilspill	1e-06	EX_man1p_e	-100.0	0.1	man1p_e	import
1309	Pseudomonas	oilspill	1e-06	EX_arg__L_e	0.35262470850483396	0.1	arg__L_e	export
1310	Pseudomonas	oilspill	1e-06	EX_glyb_e	-0.016750881569350895	0.1	glyb_e	import
1311	Pseudomonas	oilspill	1e-06	EX_so4_e	-0.0004718251806252738	0.1	so4_e	import
1316	Pseudomonas	oilspill	1e-06	EX_zn2_e	-3.708907021758501e-05	0.1	zn2_e	import
1319	Pseudomonas	oilspill	1e-06	EX_ca2_e	-0.0005661249574586691	0.1	ca2_e	import
1322	Pseudomonas	oilspill	1e-06	EX_pac_e	-100.0	0.1	pac_e	import
1326	Pseudomonas	oilspill	1e-06	EX_no2_e	0.5435191388793907	0.1	no2_e	export
1327	Pseudomonas	oilspill	1e-06	EX_h2o2_e	71.95414572659331	0.1	h2o2_e	export
1342	Pseudomonas	oilspill	1e-06	EX_fe2_e	-0.0007303610161615363	0.1	fe2_e	import
1349	Pseudomonas	oilspill	1e-06	EX_pyr_e	146.33046345735977	0.1	pyr_e	export
1350	Pseudomonas	oilspill	1e-06	EX_ala__D_e	-52.42431544747248	0.1	ala__D_e	import
1351	Pseudomonas	oilspill	1e-06	EX_glyclt_e	7.276418750734592e-05	0.1	glyclt_e	export
1355	Pseudomonas	oilspill	1e-06	EX_ade_e	-100.0	0.1	ade_e	import
1357	Pseudomonas	oilspill	1e-06	EX_ac_e	17.992597677920685	0.1	ac_e	export
1360	Pseudomonas	oilspill	1e-06	EX_idon__L_e	0.02119318271013526	0.1	idon__L_e	export
1361	Pseudomonas	oilspill	1e-06	EX_fald_e	100.0335017631387	0.1	fald_e	export
1363	Pseudomonas	oilspill	1e-06	EX_h2s_e	-0.047758891760622646	0.1	h2s_e	import
1374	Pseudomonas	oilspill	1e-06	EX_cytd_e	0.057267825741291745	0.1	cytd_e	export
1376	Pseudomonas	oilspill	1e-06	EX_acald_e	-24.130001633556333	0.1	acald_e	import
1377	Pseudomonas	oilspill	1e-06	EX_uri_e	-99.91008322006314	0.1	uri_e	import
1380	Pseudomonas	oilspill	1e-06	EX_ins_e	-53.669703702747256	0.1	ins_e	import
1381	Pseudomonas	oilspill	1e-06	EX_gua_e	0.09516379239141365	0.1	gua_e	export
1384	Pseudomonas	oilspill	1e-06	EX_etoh_e	12.175345749496273	0.1	etoh_e	export
1387	Pseudomonas	oilspill	1e-06	EX_pacald_e	100.0	0.1	pacald_e	export
1388	Pseudomonas	oilspill	1e-06	EX_2dhglcn_e	-100.0	0.1	2dhglcn_e	import
1389	Pseudomonas	oilspill	1e-06	EX_cys__L_e	0.020942761240553075	0.1	cys__L_e	export
1390	Pseudomonas	oilspill	1e-06	EX_thymd_e	0.05018113810899649	0.1	thymd_e	export
1391	Pseudomonas	oilspill	1e-06	EX_orn_e	0.287571115070989	0.1	orn_e	export
1396	Pseudomonas	oilspill	1e-06	EX_leu__L_e	-0.049002275349494084	0.1	leu__L_e	import
1398	Pseudomonas	oilspill	1e-06	EX_ura_e	100.3797396215054	0.1	ura_e	export
1402	Pseudomonas	oilspill	1e-06	EX_cobalt2_e	-1.0876560168071592e-05	0.1	cobalt2_e	import
1404	Pseudomonas	oilspill	1e-06	EX_no3_e	-0.5435191388793907	0.1	no3_e	import
1830	Alteromonas	oilspill	1e-06	EX_but_e	13.004108509039725	0.1	but_e	export
1832	Alteromonas	oilspill	1e-06	EX_ala__L_e	9.484619755820354	0.1	ala__L_e	export
1835	Alteromonas	oilspill	1e-06	EX_h_e	98.13557283183206	0.1	h_e	export
1840	Alteromonas	oilspill	1e-06	EX_ser__L_e	-25.171340676144155	0.1	ser__L_e	import
1842	Alteromonas	oilspill	1e-06	EX_mg2_e	-0.0016064699585173568	0.1	mg2_e	import
1845	Alteromonas	oilspill	1e-06	EX_lac__L_e	160.62440599019203	0.1	lac__L_e	export
1847	Alteromonas	oilspill	1e-06	EX_mn2_e	-0.00012796204511289488	0.1	mn2_e	import
1851	Alteromonas	oilspill	1e-06	EX_lys__L_e	0.38287130060408003	0.1	lys__L_e	export
1856	Alteromonas	oilspill	1e-06	EX_fe3_e	-0.001445915554597832	0.1	fe3_e	import
1857	Alteromonas	oilspill	1e-06	EX_for_e	0.00037166400056776183	0.1	for_e	export
1861	Alteromonas	oilspill	1e-06	EX_bz_e	-1.8518385672905424e-05	0.1	bz_e	import
1864	Alteromonas	oilspill	1e-06	EX_cl_e	-0.000963881975167169	0.1	cl_e	import
1868	Alteromonas	oilspill	1e-06	EX_glycogen1500_e	-0.011697768754970639	0.1	glycogen1500_e	import
1874	Alteromonas	oilspill	1e-06	EX_btoh_e	-13.004108509039725	0.1	btoh_e	import
1878	Alteromonas	oilspill	1e-06	EX_malt_e	-1.8856008857205693	0.1	malt_e	import
1892	Alteromonas	oilspill	1e-06	EX_gthrd_e	47.966720602615055	0.1	gthrd_e	export
1894	Alteromonas	oilspill	1e-06	EX_gly_e	-0.09459006226067138	0.1	gly_e	import
1898	Alteromonas	oilspill	1e-06	EX_glcn_e	100.0	0.1	glcn_e	export
1899	Alteromonas	oilspill	1e-06	EX_asn__L_e	-0.044639494622529696	0.1	asn__L_e	import
1904	Alteromonas	oilspill	1e-06	EX_icit_e	10.559273006606823	0.1	icit_e	export
1909	Alteromonas	oilspill	1e-06	EX_glu__L_e	-0.11610824124727515	0.1	glu__L_e	import
1910	Alteromonas	oilspill	1e-06	EX_glyald_e	-100.0	0.1	glyald_e	import
1911	Alteromonas	oilspill	1e-06	EX_his__L_e	-0.017543948233992523	0.1	his__L_e	import
1913	Alteromonas	oilspill	1e-06	EX_glyc_e	100.0	0.1	glyc_e	export
1922	Alteromonas	oilspill	1e-06	EX_o2_e	-0.000233702027743567	0.1	o2_e	import
1924	Alteromonas	oilspill	1e-06	EX_pro__L_e	-0.04093581748475117	0.1	pro__L_e	import
1926	Alteromonas	oilspill	1e-06	EX_glyc__R_e	-100.0	0.1	glyc__R_e	import
1935	Alteromonas	oilspill	1e-06	EX_adn_e	-0.03298698561240279	0.1	adn_e	import
1936	Alteromonas	oilspill	1e-06	EX_lac__D_e	-0.5369933896082841	0.1	lac__D_e	import
1938	Alteromonas	oilspill	1e-06	EX_k_e	-0.03614659257785348	0.1	k_e	import
1944	Alteromonas	oilspill	1e-06	EX_ser__D_e	125.34686095902248	0.1	ser__D_e	export
1946	Alteromonas	oilspill	1e-06	EX_5dglcn_e	-100.0	0.1	5dglcn_e	import
1947	Alteromonas	oilspill	1e-06	EX_asp__L_e	-11.376898656569002	0.1	asp__L_e	import
1950	Alteromonas	oilspill	1e-06	EX_cu2_e	-0.00013129534119167487	0.1	cu2_e	import
1957	Alteromonas	oilspill	1e-06	EX_man6p_e	-100.0	0.1	man6p_e	import
1960	Alteromonas	oilspill	1e-06	EX_nh4_e	-0.1263239087132888	0.1	nh4_e	import
1962	Alteromonas	oilspill	1e-06	EX_thm_e	-4.129600009150636e-05	0.1	thm_e	import
1967	Alteromonas	oilspill	1e-06	EX_h2o_e	-100.0	0.1	h2o_e	import
1973	Alteromonas	oilspill	1e-06	EX_h2_e	-100.0	0.1	h2_e	import
1974	Alteromonas	oilspill	1e-06	EX_gthox_e	-23.983360301307528	0.1	gthox_e	import
1977	Alteromonas	oilspill	1e-06	EX_thr__L_e	0.17822007832763362	0.1	thr__L_e	export
1978	Alteromonas	oilspill	1e-06	EX_pi_e	-12.2847212520536	0.1	pi_e	import
1983	Alteromonas	oilspill	1e-06	EX_co2_e	-49.77909789973319	0.1	co2_e	import
1984	Alteromonas	oilspill	1e-06	EX_man1p_e	112.10211274706398	0.1	man1p_e	export
1986	Alteromonas	oilspill	1e-06	EX_arg__L_e	-0.054775903397091166	0.1	arg__L_e	import
1988	Alteromonas	oilspill	1e-06	EX_so4_e	-0.0008033275711341048	0.1	so4_e	import
1992	Alteromonas	oilspill	1e-06	EX_zn2_e	-6.314769518667163e-05	0.1	zn2_e	import
1994	Alteromonas	oilspill	1e-06	EX_ca2_e	-0.000963881975167169	0.1	ca2_e	import
1999	Alteromonas	oilspill	1e-06	EX_dxyl_e	-0.000186975506409226	0.1	dxyl_e	import
2000	Alteromonas	oilspill	1e-06	EX_h2o2_e	23.983360301307528	0.1	h2o2_e	export
2009	Alteromonas	oilspill	1e-06	EX_glc__D_e	8.77332656623125	0.1	glc__D_e	export
2011	Alteromonas	oilspill	1e-06	EX_fe2_e	-0.0012435095990070977	0.1	fe2_e	import
2016	Alteromonas	oilspill	1e-06	EX_pyr_e	-19.958888451492726	0.1	pyr_e	import
2018	Alteromonas	oilspill	1e-06	EX_ala__D_e	-100.0	0.1	ala__D_e	import
2019	Alteromonas	oilspill	1e-06	EX_glyclt_e	0.00012388800018925394	0.1	glyclt_e	export
2021	Alteromonas	oilspill	1e-06	EX_ade_e	-0.004845520799335645	0.1	ade_e	import
2023	Alteromonas	oilspill	1e-06	EX_ac_e	25.170376794168988	0.1	ac_e	export
2029	Alteromonas	oilspill	1e-06	EX_h2s_e	-0.04556726574546133	0.1	h2s_e	import
2037	Alteromonas	oilspill	1e-06	EX_cytd_e	-0.024723526365619364	0.1	cytd_e	import
2038	Alteromonas	oilspill	1e-06	EX_acald_e	13.350462115873825	0.1	acald_e	export
2039	Alteromonas	oilspill	1e-06	EX_uri_e	-0.021840213713858248	0.1	uri_e	import
2041	Alteromonas	oilspill	1e-06	EX_gua_e	-0.04504189914344646	0.1	gua_e	import
2043	Alteromonas	oilspill	1e-06	EX_etoh_e	-100.0	0.1	etoh_e	import
2047	Alteromonas	oilspill	1e-06	EX_thymd_e	-0.014694153860205006	0.1	thymd_e	import
2055	Alteromonas	oilspill	1e-06	EX_cobalt2_e	-1.8518385715537988e-05	0.1	cobalt2_e	import
2058	Polaribacter	oilspill	1e-06	EX_ile__L_e	-0.060177275588984	0.1	ile__L_e	import
2059	Polaribacter	oilspill	1e-06	EX_arab__L_e	1.6824138424481134	0.1	arab__L_e	export
2061	Polaribacter	oilspill	1e-06	EX_ala__L_e	100.71610981914182	0.1	ala__L_e	export
2062	Polaribacter	oilspill	1e-06	EX_h_e	-36.376635306202616	0.1	h_e	import
2064	Polaribacter	oilspill	1e-06	EX_ser__L_e	149.76572272398184	0.1	ser__L_e	export
2066	Polaribacter	oilspill	1e-06	EX_mg2_e	-0.0017968528640323765	0.1	mg2_e	import
2072	Polaribacter	oilspill	1e-06	EX_mn2_e	-0.000143126839134311	0.1	mn2_e	import
2076	Polaribacter	oilspill	1e-06	EX_pnto__R_e	-0.00011930688756933705	0.1	pnto__R_e	import
2078	Polaribacter	oilspill	1e-06	EX_lys__L_e	-0.0710789424408631	0.1	lys__L_e	import
2079	Polaribacter	oilspill	1e-06	EX_abt__L_e	-1.6824138424481134	0.1	abt__L_e	import
2082	Polaribacter	oilspill	1e-06	EX_fe3_e	-0.0015248911568050971	0.1	fe3_e	import
2083	Polaribacter	oilspill	1e-06	EX_for_e	0.00027713995758793297	0.1	for_e	export
2087	Polaribacter	oilspill	1e-06	EX_val__L_e	-0.08764955062247282	0.1	val__L_e	import
2092	Polaribacter	oilspill	1e-06	EX_cl_e	-0.0010781117184137656	0.1	cl_e	import
2094	Polaribacter	oilspill	1e-06	EX_citr__L_e	-0.06307709577311016	0.1	citr__L_e	import
2097	Polaribacter	oilspill	1e-06	EX_glycogen1500_e	-0.005028269028588185	0.1	glycogen1500_e	import
2099	Polaribacter	oilspill	1e-06	EX_met__L_e	-0.031879173193146926	0.1	met__L_e	import
2100	Polaribacter	oilspill	1e-06	EX_meoh_e	37.00806249041787	0.1	meoh_e	export
2105	Polaribacter	oilspill	1e-06	EX_dha_e	-14.778605128717572	0.1	dha_e	import
2108	Polaribacter	oilspill	1e-06	EX_malt_e	1.8856008857205693	0.1	malt_e	export
2119	Polaribacter	oilspill	1e-06	EX_gthrd_e	-100.0	0.1	gthrd_e	import
2121	Polaribacter	oilspill	1e-06	EX_gly_e	-100.0	0.1	gly_e	import
2126	Polaribacter	oilspill	1e-06	EX_fol_e	-0.00013856997890332418	0.1	fol_e	import
2127	Polaribacter	oilspill	1e-06	EX_asn__L_e	-0.049929725318634155	0.1	asn__L_e	import
2132	Polaribacter	oilspill	1e-06	EX_glu__L_e	74.53275969658473	0.1	glu__L_e	export
2147	Polaribacter	oilspill	1e-06	EX_o2_e	-4.61899929291576e-05	0.1	o2_e	import
2148	Polaribacter	oilspill	1e-06	EX_cgly_e	74.66251007941935	0.1	cgly_e	export
2149	Polaribacter	oilspill	1e-06	EX_pro__L_e	-0.04578712505576732	0.1	pro__L_e	import
2160	Polaribacter	oilspill	1e-06	EX_k_e	-0.04043032865580083	0.1	k_e	import
2164	Polaribacter	oilspill	1e-06	EX_ser__D_e	-100.0	0.1	ser__D_e	import
2166	Polaribacter	oilspill	1e-06	EX_asp__L_e	-0.18673785622115702	0.1	asp__L_e	import
2168	Polaribacter	oilspill	1e-06	EX_cu2_e	-0.00014685516439541944	0.1	cu2_e	import
2175	Polaribacter	oilspill	1e-06	EX_nh4_e	48.430040190591285	0.1	nh4_e	export
2176	Polaribacter	oilspill	1e-06	EX_thm_e	-4.61899929291576e-05	0.1	thm_e	import
2180	Polaribacter	oilspill	1e-06	EX_h2o_e	-100.0	0.1	h2o_e	import
2186	Polaribacter	oilspill	1e-06	EX_gthox_e	12.66874496029029	0.1	gthox_e	export
2190	Polaribacter	oilspill	1e-06	EX_pi_e	-0.20424945604281675	0.1	pi_e	import
2196	Polaribacter	oilspill	1e-06	EX_co2_e	50.259755560752524	0.1	co2_e	export
2198	Polaribacter	oilspill	1e-06	EX_arg__L_e	-0.061267400848168826	0.1	arg__L_e	import
2200	Polaribacter	oilspill	1e-06	EX_so4_e	-0.0008985299970163396	0.1	so4_e	import
2204	Polaribacter	oilspill	1e-06	EX_zn2_e	-7.063133448070857e-05	0.1	zn2_e	import
2205	Polaribacter	oilspill	1e-06	EX_ca2_e	-0.001078111718470609	0.1	ca2_e	import
2211	Polaribacter	oilspill	1e-06	EX_no2_e	-0.021760888828211478	0.1	no2_e	import
2212	Polaribacter	oilspill	1e-06	EX_h2o2_e	-12.668744960290297	0.1	h2o2_e	import
2218	Polaribacter	oilspill	1e-06	EX_glc__D_e	3.771201771441124	0.1	glc__D_e	export
2220	Polaribacter	oilspill	1e-06	EX_fe2_e	-0.0014832580241309341	0.1	fe2_e	import
2221	Polaribacter	oilspill	1e-06	EX_indole_e	-0.011773891337156783	0.1	indole_e	import
2224	Polaribacter	oilspill	1e-06	EX_pyr_e	13.200146299948756	0.1	pyr_e	export
2226	Polaribacter	oilspill	1e-06	EX_ala__D_e	-100.0	0.1	ala__D_e	import
2227	Polaribacter	oilspill	1e-06	EX_glyclt_e	-0.0017544415428574212	0.1	glyclt_e	import
2231	Polaribacter	oilspill	1e-06	EX_ac_e	-0.7254521580398432	0.1	ac_e	import
2234	Polaribacter	oilspill	1e-06	EX_fald_e	-37.00806249041787	0.1	fald_e	import
2235	Polaribacter	oilspill	1e-06	EX_h2s_e	-0.01908827349132025	0.1	h2s_e	import
2245	Polaribacter	oilspill	1e-06	EX_acald_e	-27.602728550459233	0.1	acald_e	import
2251	Polaribacter	oilspill	1e-06	EX_etoh_e	27.602728550459233	0.1	etoh_e	export
2253	Polaribacter	oilspill	1e-06	EX_thymd_e	-0.0054404769251448215	0.1	thymd_e	import
2254	Polaribacter	oilspill	1e-06	EX_orn_e	0.06307709577311016	0.1	orn_e	export
2256	Polaribacter	oilspill	1e-06	EX_leu__L_e	-0.09331849195220343	0.1	leu__L_e	import
2258	Polaribacter	oilspill	1e-06	EX_cobalt2_e	-2.071300135137286e-05	0.1	cobalt2_e	import
2262	Rhodococcus	oilspill	1e-06	EX_ile__L_e	-0.04433461550922857	0.1	ile__L_e	import
2264	Rhodococcus	oilspill	1e-06	EX_but_e	-89.76849892361838	0.1	but_e	import
2265	Rhodococcus	oilspill	1e-06	EX_ala__L_e	53.913657428019405	0.1	ala__L_e	export
2267	Rhodococcus	oilspill	1e-06	EX_id3acald_e	99.99132577970056	0.1	id3acald_e	export
2268	Rhodococcus	oilspill	1e-06	EX_h_e	51.135423322467545	0.1	h_e	export
2274	Rhodococcus	oilspill	1e-06	EX_ser__L_e	-50.68182810098358	0.1	ser__L_e	import
2277	Rhodococcus	oilspill	1e-06	EX_mg2_e	-0.0013238017187404694	0.1	mg2_e	import
2281	Rhodococcus	oilspill	1e-06	EX_lac__L_e	189.71039956028437	0.1	lac__L_e	export
2283	Rhodococcus	oilspill	1e-06	EX_mn2_e	-0.0001054463386367388	0.1	mn2_e	import
2286	Rhodococcus	oilspill	1e-06	EX_pnto__R_e	-8.789738228642818e-05	0.1	pnto__R_e	import
2289	Rhodococcus	oilspill	1e-06	EX_lys__L_e	-0.052366238801527874	0.1	lys__L_e	import
2298	Rhodococcus	oilspill	1e-06	EX_fe3_e	-0.0011914978466762705	0.1	fe3_e	import
2301	Rhodococcus	oilspill	1e-06	EX_val__L_e	-100.0	0.1	val__L_e	import
2302	Rhodococcus	oilspill	1e-06	EX_bz_e	-1.525996219697845e-05	0.1	bz_e	import
2304	Rhodococcus	oilspill	1e-06	EX_uaagmda_e	-0.015259962175633746	0.1	uaagmda_e	import
2307	Rhodococcus	oilspill	1e-06	EX_succ_e	6.528729273485965	0.1	succ_e	export
2309	Rhodococcus	oilspill	1e-06	EX_trp__L_e	-100.0	0.1	trp__L_e	import
2310	Rhodococcus	oilspill	1e-06	EX_cl_e	-0.0007942810312897564	0.1	cl_e	import
2316	Rhodococcus	oilspill	1e-06	EX_akg_e	93.31030635649222	0.1	akg_e	export
2319	Rhodococcus	oilspill	1e-06	EX_meoh_e	0.046904850938517484	0.1	meoh_e	export
2323	Rhodococcus	oilspill	1e-06	EX_btoh_e	89.76849892361837	0.1	btoh_e	export
2324	Rhodococcus	oilspill	1e-06	EX_fum_e	-1.0646762890638684	0.1	fum_e	import
2326	Rhodococcus	oilspill	1e-06	EX_dha_e	1.1864114267942796	0.1	dha_e	export
2329	Rhodococcus	oilspill	1e-06	EX_tyr__L_e	-0.02104287744168687	0.1	tyr__L_e	import
2344	Rhodococcus	oilspill	1e-06	EX_gthrd_e	73.81901591708697	0.1	gthrd_e	export
2345	Rhodococcus	oilspill	1e-06	EX_phe__L_e	-0.028271368924720264	0.1	phe__L_e	import
2347	Rhodococcus	oilspill	1e-06	EX_gly_e	500.9949965745536	0.1	gly_e	export
2350	Rhodococcus	oilspill	1e-06	EX_thym_e	0.004073494303156622	0.1	thym_e	export
2352	Rhodococcus	oilspill	1e-06	EX_glcn_e	99.45621199815866	0.1	glcn_e	export
2353	Rhodococcus	oilspill	1e-06	EX_fol_e	-0.00010208914686415937	0.1	fol_e	import
2355	Rhodococcus	oilspill	1e-06	EX_asn__L_e	-0.03678490182244332	0.1	asn__L_e	import
2359	Rhodococcus	oilspill	1e-06	EX_icit_e	6.609377410584784	0.1	icit_e	export
2362	Rhodococcus	oilspill	1e-06	EX_glu__L_e	-100.0	0.1	glu__L_e	import
2365	Rhodococcus	oilspill	1e-06	EX_glyald_e	100.0	0.1	glyald_e	export
2366	Rhodococcus	oilspill	1e-06	EX_his__L_e	-0.014456982965953102	0.1	his__L_e	import
2367	Rhodococcus	oilspill	1e-06	EX_glyc_e	-100.0	0.1	glyc_e	import
2373	Rhodococcus	oilspill	1e-06	EX_mal__L_e	-100.0	0.1	mal__L_e	import
